Symbol,Security,Start_Date_in_Index,End_Date_in_Index
WDC,Western Digital,UNKNOWN,Present
VAC,Marriott Vacations Worldwide,UNKNOWN,Present
SSD,Simpson Manufacturing,UNKNOWN,Present
PRI,Primerica,UNKNOWN,Present
CHH,Choice Hotels,UNKNOWN,Present
LYV,Live Nation Entertainment,UNKNOWN,Present
USB,U.S. Bancorp,UNKNOWN,Present
VICI,Vici Properties,UNKNOWN,Present
PFE,Pfizer,UNKNOWN,Present
HGV,Hilton Grand Vacations,UNKNOWN,Present
UMBF,UMB Financial Corp.,UNKNOWN,Present
HLNE,Hamilton Lane,UNKNOWN,Present
HR,Healthcare Realty Trust,UNKNOWN,Present
CNH,CNH Industrial,UNKNOWN,Present
ELS,Equity Lifestyle Properties,UNKNOWN,Present
SCI,Service Corp Intl,UNKNOWN,Present
UFPI,UFP Industries,UNKNOWN,Present
GAP,Gap Inc.,UNKNOWN,Present
CGNX,Cognex,UNKNOWN,Present
ALE,ALLETE,UNKNOWN,Present
MPC,Marathon Petroleum,UNKNOWN,Present
CBT,Cabot Corp,UNKNOWN,Present
STAG,STAG Industrial,UNKNOWN,Present
BWXT,BWX Technologies,UNKNOWN,Present
PWR,Quanta Services,UNKNOWN,Present
PFGC,Performance Food Group,UNKNOWN,Present
NOW,ServiceNow,UNKNOWN,Present
OPCH,Option Care Health,UNKNOWN,Present
NEM,Newmont,UNKNOWN,Present
ATR,AptarGroup,UNKNOWN,Present
KNSL,Kinsale Capital Group,UNKNOWN,Present
BYD,Boyd Gaming,UNKNOWN,Present
RLI,RLI Corp.,UNKNOWN,Present
JKHY,Jack Henry & Associates,UNKNOWN,Present
ROST,Ross Stores,UNKNOWN,Present
LAD,Lithia Motors,UNKNOWN,Present
DOCS,Doximity,UNKNOWN,Present
NWSA,News Corp (Class A),UNKNOWN,Present
LAMR,Lamar Advertising Company,UNKNOWN,Present
MAR,Marriott International,UNKNOWN,Present
OXY,Occidental Petroleum,UNKNOWN,Present
RGEN,Repligen,UNKNOWN,Present
DOCU,Docusign,UNKNOWN,Present
CIVI,Civitas Resources,UNKNOWN,Present
MTN,Vail Resorts,UNKNOWN,Present
AAON,AAON,UNKNOWN,Present
NOC,Northrop Grumman,UNKNOWN,Present
OSK,Oshkosh,UNKNOWN,Present
PRGO,Perrigo,UNKNOWN,Present
QCOM,Qualcomm,UNKNOWN,Present
